char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
௰	U+0BF0	TAMIL NUMBER TEN	No	tamil	pi	1	l	线条	s	1	s	对称	pils	tamil视觉聚类C1;状态组S1	false	0.523833	1.1765	0.2243	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௱	U+0BF1	TAMIL NUMBER ONE HUNDRED	No	tamil	pi	5	g	动物有机体	s	1	s	对称	pigs	tamil视觉聚类C5;状态组S1	false	0.388605	1.5660	0.2453	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௲	U+0BF2	TAMIL NUMBER ONE THOUSAND	No	tamil	pi	2	y	分叉翼形	s	0	x	穿过交叠	piyx	tamil视觉聚类C2;状态组S0	true	0.474735	1.4394	0.2702	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௳	U+0BF3	TAMIL DAY SIGN	So	tamil	pi	4	n	成列成排	s	1	s	对称	pins	tamil视觉聚类C4;状态组S1	false	0.278161	1.5000	0.2371	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௴	U+0BF4	TAMIL MONTH SIGN	So	tamil	pi	3	i	细柱	s	0	w	宽展	piiw	tamil视觉聚类C3;状态组S0	true	0.436783	1.3289	0.2230	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௵	U+0BF5	TAMIL YEAR SIGN	So	tamil	pi	3	i	细柱	s	1	s	对称	piis	tamil视觉聚类C3;状态组S1	false	0.350467	2.0732	0.2743	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௶	U+0BF6	TAMIL DEBIT SIGN	So	tamil	pi	5	g	动物有机体	s	1	s	对称	pigs	tamil视觉聚类C5;状态组S1	false	0.607443	1.3134	0.2570	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௷	U+0BF7	TAMIL CREDIT SIGN	So	tamil	pi	13	v	开口V形	s	0	s	对称	pivs	tamil视觉聚类C13;状态组S0	false	0.193791	2.1923	0.2775	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௸	U+0BF8	TAMIL AS ABOVE SIGN	So	tamil	pi	5	g	动物有机体	s	0	w	宽展	pigw	tamil视觉聚类C5;状态组S0	true	0.575496	1.9383	0.2269	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௹	U+0BF9	TAMIL RUPEE SIGN	Sc	tamil	pi	11	w	波浪流线	s	0	x	穿过交叠	piwx	tamil视觉聚类C11;状态组S0	true	0.484302	1.0000	0.2611	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௺	U+0BFA	TAMIL NUMBER SIGN	So	tamil	pi	2	y	分叉翼形	s	1	s	对称	piys	tamil视觉聚类C2;状态组S1	false	0.479656	0.9239	0.2345	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
